time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:01:03.451000,1053,63,418000000,camera_frame,0.03498409315943718,-0.0025233638007193804,4.250262260437012,0.9784877319502013,0.00010819115161532016,-0.206304455741772,-0.0004671816743252873,0,0,0,camera_frame,0.038104761739234966,1.6189821563372675e-06,4.263858190038191,0.6918735650432751,0.14598270764655297,-0.14598442216908888,0.6918732308352791
1970/01/01/03:01:03.733000,1061,63,684000000,camera_frame,0.03941108286380768,-0.002553745172917843,4.270585060119629,0.9771558304535297,7.02909519450401e-05,-0.212523786716735,-0.00034372872227691315,0,0,0,camera_frame,0.04240757497956567,-6.83361022657536e-07,4.275460544996739,0.6905438937321179,0.15214634653432665,-0.15214613848797842,0.6905448375078471
1970/01/01/03:01:03.987000,1069,63,949000000,camera_frame,0.04406718164682388,-0.002563726156949997,4.283711910247803,0.9749525891394694,2.973761093337242e-05,-0.22241249933785592,-0.0003580282223085742,0,0,0,camera_frame,0.046833197874212786,2.650217397315302e-06,4.287062041077804,0.6891594144772318,0.15829376743351983,-0.15829292854437726,0.6891630673519485
1970/01/01/03:01:04.224000,1076,64,185000000,camera_frame,0.048157863318920135,-0.0025555044412612915,4.292511940002441,0.9733488287329651,6.961975674469902e-05,-0.22932938489826138,-0.0002932225086628869,0,0,0,camera_frame,0.051460821967399,3.736566611678427e-12,4.29864456979878,0.6877273601222309,0.164411308036515,-0.16441130805605805,0.6877273600143631
1970/01/01/03:01:04.419000,1082,64,383000000,camera_frame,0.05187513679265976,-0.0025705972220748663,4.295631408691406,0.9714793664417123,5.616145378856722e-05,-0.23712391563680713,-0.00029335468110441154,0,0,0,camera_frame,0.05533707704678731,4.837685807501657e-12,4.3078863820945195,0.6865441990247705,0.16928397071558127,-0.16928397074207438,0.6865441990826221
1970/01/01/03:01:04.651000,1089,64,616000000,camera_frame,0.05673404410481453,-0.0025605508126318455,4.3040995597839355,0.9689105479568103,6.277917509440693e-05,-0.2474111902296341,-0.00022150838505337315,0,0,0,camera_frame,0.05936757422403932,1.395619247501756e-06,4.3171079316706065,0.6853307792990286,0.1741348595334229,-0.17413534551097604,0.6853288663732429
1970/01/01/03:01:04.865000,1095,64,816000000,camera_frame,0.06087243929505348,-0.0026040251832455397,4.316797256469727,0.9674578283002652,8.52456373579347e-05,-0.2530320344133863,-0.0003643546882452509,0,0,0,camera_frame,0.06359808013308511,1.9274963536375367e-06,4.326264041175342,0.6840870863023083,0.17895576341961908,-0.17895747249543958,0.6840861905720388
1970/01/01/03:01:05.051000,1101,65,16000000,camera_frame,0.06502021104097366,-0.0025841202586889267,4.3285603523254395,0.9661293430428683,6.567843008744152e-05,-0.2580581320431546,-0.00029779908851620485,0,0,0,camera_frame,0.06797385742229069,7.76334552199387e-12,4.335383524761874,0.6828128928354416,0.18375677769928514,-0.183756777768913,0.6828128928566431
1970/01/01/03:01:05.262000,1107,65,220000000,camera_frame,0.06941812485456467,-0.0025759011041373014,4.340729713439941,0.9645721332414319,6.200261981428565e-05,-0.26381915982131937,-0.0002164276362779252,0,0,0,camera_frame,0.07249624445715075,4.9038550997693164e-12,4.344454522853773,0.6815074909011962,0.18854055213538803,-0.18854055217197702,0.6815074909586286
1970/01/01/03:01:05.452000,1113,65,416000000,camera_frame,0.07408233731985092,-0.002601329470053315,4.345963478088379,0.9620178626171071,9.381937932279102e-05,-0.2729863113578578,-0.0003114719373099733,0,0,0,camera_frame,0.07715954693268101,-4.339977854872501e-07,4.353437866457817,0.6801688558479965,0.19331310986005232,-0.19331294195184517,0.6801694462151217
1970/01/01/03:01:05.658000,1119,65,616000000,camera_frame,0.07844934612512589,-0.0025843472685664892,4.353054046630859,0.9600516672427613,5.916977716036697e-05,-0.2798226234793657,-0.00030350034117385263,0,0,0,camera_frame,0.08195507036513648,-4.062936738158385e-07,4.362323780624454,0.6787965729215145,0.1980779394445395,-0.19807777837472693,0.6787971244853244
1970/01/01/03:01:05.850000,1125,65,816000000,camera_frame,0.08308503031730652,-0.0026270851958543062,4.36757755279541,0.9585265316357224,0.00010765747971249366,-0.28500313691002743,-0.0002975091656250191,0,0,0,camera_frame,0.08688704936251848,-3.7899254912154845e-07,4.371146394908078,0.6773924896151001,0.20282775555242993,-0.20282760169695513,0.6773930030495455
1970/01/01/03:01:06.059000,1131,66,17000000,camera_frame,0.0882641077041626,-0.002626366913318634,4.373462677001953,0.9559590577173372,6.321954268479386e-05,-0.2934998855893922,-0.00030517287529474574,0,0,0,camera_frame,0.09195434714857996,-3.5211497140252845e-07,4.379903411047003,0.6759567671903861,0.2075624183031718,-0.20756227201559804,0.6759572431991421
1970/01/01/03:01:06.250000,1137,66,217000000,camera_frame,0.09329807758331299,-0.0026313993148505688,4.379942417144775,0.9546750924270587,6.587063674325237e-05,-0.2976496599730955,-0.00037878535696111846,0,0,0,camera_frame,0.09715553441956455,-3.2568229157980966e-07,4.388593085854952,0.6744895628870247,0.21228180001863606,-0.21228166162906983,0.6744900022041241
1970/01/01/03:01:06.484000,1144,66,449000000,camera_frame,0.09894151985645294,-0.002644747029989958,4.3864054679870605,0.9516431450629912,9.228793748817133e-05,-0.3072055235603656,-0.0002867604525262929,0,0,0,camera_frame,0.10248916126541252,-2.997155610362512e-07,4.397213705640203,0.6729910322010991,0.21698577683353304,-0.21698564664799846,0.6729914355900805
1970/01/01/03:01:06.685000,1150,66,649000000,camera_frame,0.10457395017147064,-0.0025952281430363655,4.393680095672607,0.9491160222412435,0.00011557540222396104,-0.3149264041359526,-0.00035063554341966866,0,0,0,camera_frame,0.10795375765818263,-2.742361846497232e-07,4.405763586235235,0.6714613288124881,0.2216742285852772,-0.2216741068848241,0.6714616970664117
