.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z
camera_link_optical,-0.002132050460204,-0.00213850592263,3.55914187431335,camera_link_optical,-2.14253613315439E-07,-5.66972670035248E-07,3.57846814730419,,-0.000922855106182,1.5664975643158,0.000932317925617,odom,4.4087899230108E-11,1.57846814729899,0.25000056703142
camera_link_optical,-0.002181988209486,-0.00218023150228,3.61290144920349,camera_link_optical,-2.18989171992211E-07,-5.67870747508747E-07,3.62925154655124,,-0.000972792855464,1.62025713920593,0.000974043505266,odom,4.4074769520007E-11,1.62925154655665,0.250000567773763
camera_link_optical,-0.002216672059149,-0.002183960285038,3.66978788375854,camera_link_optical,-2.23738856184919E-07,-5.68453351890152E-07,3.67984474581922,,-0.001007476705126,1.67714357376099,0.000977772288024,odom,4.4071331370748E-11,1.67984474581612,0.250000568514293
camera_link_optical,-0.002243851311505,-0.002248842734844,3.72013163566589,camera_link_optical,-2.28562106986119E-07,-5.6935775150091E-07,3.73062814506948,,-0.001034655957483,1.72748732566834,0.00104265473783,odom,4.40775589338346E-11,1.73062814507183,0.250000569258577
camera_link_optical,-0.002266728784889,-0.002284371992573,3.76533770561218,camera_link_optical,-2.33423406269036E-07,-5.6994070019023E-07,3.78141154432789,,-0.001057533430867,1.77269339561462,0.00107818399556,odom,4.40644289493779E-11,1.78141154432657,0.250000570003836
camera_link_optical,-0.002316592494026,-0.002293743891642,3.81133389472961,camera_link_optical,-2.38673828903452E-07,-5.70683044709419E-07,3.83200474358834,,-0.001107397140004,1.81868958473206,0.001087555894628,odom,4.40609905294602E-11,1.83200474358314,0.250000570747273
camera_link_optical,-0.002314782701433,-0.002327188150957,3.86280965805054,camera_link_optical,-2.43647146535207E-07,-5.71596943527153E-07,3.88278814283227,,-0.001105587347411,1.87016534805298,0.001121000153944,odom,4.40672178188419E-11,1.88278814283593,0.250000571494481
camera_link_optical,-0.002320857252926,-0.00236699404195,3.91541862487793,camera_link_optical,-2.48651154202288E-07,-5.7217624355177E-07,3.93357154209031,,-0.001111661898904,1.92277431488037,0.001160806044936,odom,4.40540875613176E-11,1.93357154208774,0.250000572242667
camera_link_optical,-0.002416148781776,-0.002388429827988,3.9672749042511,camera_link_optical,-2.53700945686076E-07,-5.73093677402881E-07,3.98416474133961,,-0.001206953427754,1.97463059425354,0.001182241830975,odom,4.4050648868038E-11,1.98416474134139,0.250000572989025
camera_link_optical,-0.002347871428356,-0.002388842403889,4.01982498168945,camera_link_optical,-2.59196358385855E-07,-5.73847732526778E-07,4.03513834058303,,-0.001138676074333,2.02718067169189,0.001182654406875,odom,4.40471842298576E-11,2.03513834058843,0.250000573741978
camera_link_optical,-0.002414618618786,-0.002404392231256,4.07098245620728,camera_link_optical,-2.64328586757212E-07,-5.74420580712332E-07,4.08573153984531,,-0.001205423264764,2.07833814620972,0.001198204234242,odom,4.40437453527012E-11,2.08573153984011,0.250000574490292
camera_link_optical,-0.00250843516551,-0.002454535337165,4.11971664428711,camera_link_optical,-2.69541183193833E-07,-5.75350344117487E-07,4.13651493908495,,-0.001299239811488,2.12707233428955,0.001248347340152,odom,4.40499721861763E-11,2.13651493908801,0.250000575242399
camera_link_optical,-0.002508077770472,-0.002482478739694,4.16850662231445,camera_link_optical,-2.74774213138354E-07,-5.75920768353111E-07,4.18710813833969,,-0.001298882416449,2.17586231231689,0.00127629074268,odom,4.40465331281226E-11,2.18710813833774,0.250000575992669
camera_link_optical,-0.002495380584151,-0.002498365240172,4.21717071533203,camera_link_optical,-2.80460679390382E-07,-5.76673745700251E-07,4.23789153758886,,-0.001286185230128,2.22452640533447,0.001292177243158,odom,4.40334023234268E-11,2.23789153758366,0.250000576746744
camera_link_optical,-0.002566206734627,-0.002595792058855,4.26637649536133,camera_link_optical,-2.85809361140499E-07,-5.77610204249845E-07,4.28848473682603,,-0.001357011380605,2.27373218536377,0.001389604061842,odom,4.40299630874433E-11,2.28848473683143,0.250000577498976
camera_link_optical,-0.002590236254036,-0.002590007148683,4.32038402557373,camera_link_optical,-2.91196177080741E-07,-5.78179833954362E-07,4.33926813607861,,-0.001381040900014,2.32773971557617,0.00138381915167,odom,4.40361895530452E-11,2.33926813607539,0.250000578255023
camera_link_optical,-0.002635666402057,-0.002639171434566,4.37694692611694,camera_link_optical,-2.96645579109698E-07,-5.7912548201422E-07,4.39005153531585,,-0.001426471048035,2.38430261611938,0.001432983437553,odom,4.40230584754412E-11,2.39005153531835,0.250000579012059
camera_link_optical,-0.002665541134775,-0.002638798905537,4.43276405334473,camera_link_optical,-3.02119465485509E-07,-5.79689866664346E-07,4.44064473456456,,-0.001456345780753,2.44011974334717,0.001432610908523,odom,4.40196189618173E-11,2.44064473456316,0.250000579767246
camera_link_optical,-0.002680550562218,-0.00267439452,4.48454093933106,camera_link_optical,-3.08068663375487E-07,-5.80447785725191E-07,4.49142813380934,,-0.001471355208196,2.4918966293335,0.001468206522986,odom,4.4025845155568E-11,2.49142813380415,0.250000580526262
camera_link_optical,-0.002792577259243,-0.00266388989985,4.5290732383728,camera_link_optical,-3.13668030075152E-07,-5.81402982369195E-07,4.54221153304029,,-0.00158338190522,2.53642892837524,0.001457701902837,odom,4.4012713800785E-11,2.54221153304414,0.250000581286272
camera_link_optical,-0.002737089525908,-0.002762682968751,4.57014226913452,camera_link_optical,-3.19745394817226E-07,-5.82167940466061E-07,4.59318513227487,,-0.001527894171886,2.57749795913696,0.001556494971737,odom,4.40092481533278E-11,2.59318513228028,0.250000582050129
