time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:01:00.346000,1071,60,324000000,camera_frame,-0.0008735895971767604,-0.0008749770349822938,1.8040255308151245,0.9999999975474417,2.755567329736267e-06,5.708325231497083e-05,-4.048488193052905e-05,0,0,0,camera_frame,1.5245401591149867e-10,4.9013015868126786e-12,1.8123044000032769,0.7071067811862993,-2.9696003008685035e-10,2.955838221862402e-10,0.7071067811867957
1970/01/01/03:01:02.549000,1137,62,524000000,camera_frame,-0.0009231707663275301,-0.0009242183296009898,1.9053008556365967,0.9999999995103257,-5.0320865244542565e-06,2.5546943516923044e-05,-1.736031241436033e-05,0,0,0,camera_frame,1.6998682034904514e-10,4.901551386993219e-12,1.9136210000032934,0.7071067811853045,-3.233702847121707e-10,3.2526597911376276e-10,0.7071067811877906
1970/01/01/03:01:04.721000,1202,64,691000000,camera_frame,-0.0009800547268241644,-0.0009722186950966716,2.004666328430176,0.9999999992196688,-4.43829494265664e-06,-2.4448913079761055e-05,-3.071180037651113e-05,0,0,0,camera_frame,1.853037073426504e-10,4.90135709796391e-12,2.014706600003296,0.7071067811853045,-3.507937767971146e-10,3.526894712013132e-10,0.7071067811877906
1970/01/01/03:01:06.916000,1268,66,891000000,camera_frame,-0.0010420886101201177,-0.0010340901790186763,2.106508493423462,0.9999999601291453,-8.990305175669251e-07,-0.00028179382312699665,1.8252152580602694e-05,0,0,0,camera_frame,2.0276157807080604e-10,4.901579142568835e-12,2.1162542000033,0.7071067811853045,-3.7952314943595755e-10,3.814188438402086e-10,0.7071067811877906
1970/01/01/03:01:09.119000,1334,69,92000000,camera_frame,-0.001065900083631277,-0.0010658629471436143,2.2087349891662598,0.9999999757355997,-8.512317128294334e-06,0.00014961507615721923,-0.00016146723927300765,0,0,0,camera_frame,2.1800353135060606e-10,4.901412609115141e-12,2.2175708000033207,0.7071067811862993,-4.0926575953282313e-10,4.078895516292659e-10,0.7071067811867957
1970/01/01/03:01:11.319000,1400,71,291000000,camera_frame,-0.0011287886882200837,-0.001117064617574215,2.3102028369903564,0.9999999720831189,2.5436713978914833e-06,-0.00020754146519985175,0.00011293286239792236,0,0,0,camera_frame,2.3553633576023493e-10,4.901662409295682e-12,2.318887400003322,0.7071067811853045,-4.356760140555777e-10,4.375717084628174e-10,0.7071067811877906
1970/01/01/03:01:13.521000,1466,73,492000000,camera_frame,-0.0011822129599750042,-0.0011638144496828318,2.4113550186157227,0.9999999803421036,-6.1064576360762795e-06,-8.40563461669966e-05,-0.0001794798998539211,0,0,0,camera_frame,2.5077828902844454e-10,4.901412609115141e-12,2.420204000003314,0.7071067811862993,-4.6541862413414493e-10,4.6404241622807653e-10,0.7071067811867957
1970/01/01/03:01:15.715000,1532,75,691000000,camera_frame,-0.0012260421644896269,-0.001219583791680634,2.513352870941162,0.9999999906196382,4.446479055302318e-08,-0.00012323224182960197,-5.97874251790616e-05,0,0,0,camera_frame,2.683110934323886e-10,4.901690164871297e-12,2.5215206000033055,0.7071067811853045,-4.918288786376687e-10,4.937245730471916e-10,0.7071067811877906
1970/01/01/03:01:17.878000,1597,77,858000000,camera_frame,-0.0012622071662917733,-0.0012610774720087647,2.6133902072906494,0.9999999909800887,9.00985356984985e-06,-5.694590245319037e-05,-0.00012130873460288462,0,0,0,camera_frame,2.8356803341656085e-10,4.901440364690757e-12,2.6227910000032972,0.7071067811853045,-5.192523705914472e-10,5.211480649988718e-10,0.7071067811877906
1970/01/01/03:01:20.083000,1663,80,58000000,camera_frame,-0.0013182031689211726,-0.0013235281221568584,2.712911367416382,0.9999999619821088,1.0528426042972123e-06,-0.00011416331930099145,0.0002510008142317355,0,0,0,camera_frame,3.010858510570638e-10,4.901773431598144e-12,2.724153800003289,0.7071067811853045,-5.479817430780968e-10,5.498774374871496e-10,0.7071067811877906
