time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:55.211000,915,55,179000000,camera_frame,-0.0030151826795190573,-0.002985083730891347,4.995255947113037,0.9999999882786994,-1.7730034686827906e-06,0.000117876016880864,9.769699118064022e-05,0,0,0,camera_frame,-1.5328356750037658e-10,4.902078742929916e-12,5.01334379999459,0.7071067811862972,2.671700663828391e-10,-2.6579759133359286e-10,0.7071067811867978
1970/01/01/03:00:57.390000,980,57,346000000,camera_frame,-0.003100575879216194,-0.003051565960049629,5.1137824058532715,0.9999992335103647,-3.609143272574514e-05,-0.000654011869308108,-0.001050687663637644,0,0,0,camera_frame,-1.7150333669081347e-10,4.901634653720066e-12,5.114660399994825,0.7071067811853047,2.956773007878682e-10,-2.975744832526508e-10,0.7071067811877904
1970/01/01/03:00:59.579000,1046,59,546000000,camera_frame,-0.00315429107286036,-0.0031071093399077654,5.217046737670898,0.9999989989770436,-2.0278949826116924e-06,-0.0005391983598536802,-0.0013081689215033148,0,0,0,camera_frame,-1.8743403265190827e-10,4.901634653720066e-12,5.2159769999950605,0.7071067811862972,3.275146028020673e-10,-3.261421277514258e-10,0.7071067811867978
1970/01/01/03:01:01.782000,1112,61,749000000,camera_frame,-0.0031933505088090897,-0.003209636779502034,5.308640003204346,0.9999998006082063,-9.66214188500151e-06,6.724770363590052e-05,0.0006278279517842966,0,0,0,camera_frame,-2.0565380184375455e-10,4.901856698324991e-12,5.3172935999952955,0.7071067811853047,3.5602183720330116e-10,-3.579190196694953e-10,0.7071067811877904
1970/01/01/03:01:03.958000,1177,63,917000000,camera_frame,-0.0032035044860094786,-0.003234514966607094,5.40255880355835,0.9999987135711161,-1.2425390524355113e-05,0.0013259423729163637,-0.0009025400524974985,0,0,0,camera_frame,-2.2158449779724637e-10,4.901856698324991e-12,5.4186101999955305,0.7071067811862972,3.878591391882953e-10,-3.864866641362046e-10,0.7071067811867978
1970/01/01/03:01:06.158000,1243,66,113000000,camera_frame,-0.003296854207292199,-0.0032962579280138016,5.501007080078125,0.999999865938252,-6.77619353519056e-05,0.0004794011232140025,0.0001835929227945456,0,0,0,camera_frame,-2.3980426696902995e-10,4.901856698324991e-12,5.5199267999957655,0.7071067811853047,4.163663735197069e-10,-4.1826355598398477e-10,0.7071067811877904
1970/01/01/03:01:08.351000,1309,68,313000000,camera_frame,-0.0033346398267894983,-0.003362993709743023,5.602227687835693,0.9999992100685181,3.280229289968545e-05,0.0012549484222937437,6.237633270125488e-05,0,0,0,camera_frame,-2.557349628979254e-10,4.901856698324991e-12,5.6212433999960005,0.7071067811862972,4.482036754232034e-10,-4.468312003710175e-10,0.7071067811867978
1970/01/01/03:01:10.545000,1375,70,513000000,camera_frame,-0.003453246783465147,-0.00345275504514575,5.703186511993408,0.9999987055293722,1.30799334502292e-06,-0.0014889057849894018,0.0006099978955260901,0,0,0,camera_frame,-2.7395473205380545e-10,4.902078742929916e-12,5.7225599999962355,0.7071067811853047,4.767109097027607e-10,-4.786080921693695e-10,0.7071067811877904
1970/01/01/03:01:12.759000,1441,72,714000000,camera_frame,-0.003528406610712409,-0.0034930934198200703,5.8047871589660645,0.999995172649713,-2.439047572160762e-05,-0.0030634668108781007,0.0005188963998355887,0,0,0,camera_frame,-2.898854279762596e-10,4.902078742929916e-12,5.823876599996472,0.7071067811862972,5.085482115947271e-10,-5.071757365388808e-10,0.7071067811867978
1970/01/01/03:01:14.959000,1507,74,913000000,camera_frame,-0.0035541015677154064,-0.003517812117934227,5.907073020935059,0.9999986048979762,-3.4931849532261346e-05,0.0011232013001229197,-0.001235880538987866,0,0,0,camera_frame,-3.08105197127471e-10,4.902078742929916e-12,5.925193199996706,0.7071067811853047,5.370554458411592e-10,-5.38952628309434e-10,0.7071067811877904
